ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
136	70	0	10	0	24.86	31.47	35.4	62.9	-21.85	-14.81
137	70	10	10	0	23.23	28.08	32.18	59.96	-16.28	-15.18
138	70	20	10	0	21.64	24.93	29.19	57.01	-10.84	-15.59
139	70	30	10	0	20.33	22.4	26.75	54.45	-6.05	-15.95
140	70	40	10	0	19.15	20.19	24.52	52.05	-1.64	-16.13
141	70	55	10	0	17.73	17.66	21.83	49.08	3.8	-16.2
142	70	70	10	0	16.68	15.86	19.84	46.79	7.98	-16.12
143	70	85	10	0	16	14.72	18.5	45.25	10.78	-15.9
144	70	100	10	0	15.49	13.89	17.48	44.07	12.86	-15.66
145	85	0	10	0	21.92	28.57	34.48	60.4	-24.14	-17.82
146	85	10	10	0	20.56	25.6	31.43	57.66	-18.78	-18
147	85	20	10	0	19.24	22.86	28.59	54.93	-13.55	-18.19
148	85	30	10	0	18.16	20.65	26.27	52.57	-8.96	-18.37
149	85	40	10	0	17.16	18.71	24.16	50.35	-4.72	-18.42
150	85	55	10	0	15.98	16.49	21.62	47.61	0.44	-18.31
151	85	70	10	0	15.08	14.88	19.72	45.48	4.41	-18.13
152	85	85	10	0	14.49	13.87	18.45	44.05	6.99	-17.87
153	85	100	10	0	14.04	13.13	17.49	42.96	8.92	-17.6
154	100	0	10	0	19.74	26.36	33.69	58.38	-25.89	-20.15
155	100	10	10	0	18.57	23.7	30.78	55.78	-20.68	-20.22
156	100	20	10	0	17.48	21.3	28.06	53.27	-15.64	-20.18
157	100	30	10	0	16.54	19.3	25.85	51.04	-11.18	-20.25
158	100	40	10	0	15.7	17.59	23.83	49	-7.11	-20.16
159	100	55	10	0	14.67	15.59	21.41	46.43	-2.17	-19.93
160	100	70	10	0	13.9	14.15	19.6	44.45	1.61	-19.65
161	100	85	10	0	13.38	13.23	18.39	43.11	4.05	-19.35
162	100	100	10	0	12.99	12.58	17.49	42.12	5.78	-19.05
163	0	0	20	0	60.66	63.14	34.99	83.52	-0.53	21.31
164	0	10	20	0	55.43	54.8	31.5	78.93	6.58	18.56
165	0	20	20	0	50.69	47.42	28.19	74.46	13.64	16.12
166	0	30	20	0	46.81	41.55	25.49	70.56	19.87	14.02
167	0	40	20	0	43.45	36.61	23.09	66.98	25.66	12.24
168	0	55	20	0	39.59	31.03	20.17	62.53	33.14	10.33
169	0	70	20	0	36.78	27.09	17.97	59.06	39.1	9.07
170	0	85	20	0	35.01	24.65	16.47	56.73	43.23	8.5
171	0	100	20	0	33.79	22.95	15.34	55.02	46.4	8.28
172	10	0	20	0	52.33	56.22	34.16	79.74	-4.82	15.99
173	10	10	20	0	47.99	49	30.81	75.45	2.07	13.64
174	10	20	20	0	43.96	42.5	27.67	71.22	8.9	11.41
175	10	30	20	0	40.68	37.36	25.11	67.55	14.88	9.52
176	10	40	20	0	37.82	33.01	22.82	64.17	20.42	7.9
177	10	55	20	0	34.52	28.09	20.03	59.97	27.58	6.2
178	10	70	20	0	32.16	24.65	17.94	56.73	33.26	5.11
179	10	85	20	0	30.65	22.49	16.51	54.54	37.2	4.64
180	10	100	20	0	29.58	20.96	15.42	52.91	40.2	4.45
181	20	0	20	0	45.05	49.99	33.31	76.06	-8.84	10.91
182	20	10	20	0	41.39	43.67	30.11	72	-2.16	8.8
183	20	20	20	0	38.01	38.05	27.18	68.06	4.3	6.78
184	20	30	20	0	35.23	33.53	24.72	64.59	10.08	5.11
185	20	40	20	0	32.81	29.71	22.53	61.41	15.44	3.7
186	20	55	20	0	30.05	25.42	19.89	57.48	22.26	2.21
187	20	70	20	0	28.05	22.4	17.91	54.45	27.66	1.24
188	20	85	20	0	26.79	20.51	16.55	52.41	31.37	0.87
189	20	100	20	0	25.89	19.19	15.52	50.91	34.17	0.74
190	30	0	20	0	38.85	44.56	32.49	72.6	-12.6	6.15
191	30	10	20	0	35.84	39.11	29.48	68.83	-6.16	4.33
192	30	20	20	0	33.01	34.2	26.72	65.12	0.11	2.51
193	30	30	20	0	30.69	30.29	24.39	61.9	5.61	1.07
194	30	40	20	0	28.65	26.94	22.31	58.92	10.75	-0.17
195	30	55	20	0	26.29	23.14	19.77	55.21	17.27	-1.44
196	30	70	20	0	24.59	20.47	17.86	52.36	22.42	-2.24
197	30	85	20	0	23.51	18.8	16.56	50.45	25.94	-2.55
198	30	100	20	0	22.73	17.61	15.58	49.02	28.61	-2.63
199	40	0	20	0	33.78	40.02	31.76	69.48	-15.99	1.89
200	40	10	20	0	31.28	35.28	28.91	65.97	-9.74	0.31
201	40	20	20	0	28.92	30.99	26.3	62.5	-3.67	-1.28
202	40	30	20	0	26.96	27.54	24.08	59.47	1.62	-2.54
203	40	40	20	0	25.23	24.6	22.09	56.69	6.52	-3.6
204	40	55	20	0	23.2	21.22	19.64	53.19	12.78	-4.66
205	40	70	20	0	21.73	18.83	17.8	50.48	17.69	-5.34
206	40	85	20	0	20.8	17.34	16.56	48.69	21.05	-5.58
207	40	100	20	0	20.13	16.29	15.62	47.35	23.56	-5.62
208	55	0	20	0	28.04	34.71	30.78	65.52	-20.11	-3.43
209	55	10	20	0	26.1	30.78	28.1	62.32	-14.15	-4.65
210	55	20	20	0	24.27	27.24	25.68	59.19	-8.41	-5.91
211	55	30	20	0	22.72	24.34	23.61	56.43	-3.35	-6.92
212	55	40	20	0	21.35	21.85	21.74	53.87	1.32	-7.76
